date,Open,High,Low,Close,Volume,Ticker
2015-01-02,191.89,193.0,190.6,190.6,1400.0,SXRV
2015-01-05,191.23,192.0,190.289,190.289,3408.0,SXRV
2015-01-06,189.64,190.43,187.66,187.66,1709.0,SXRV
2015-01-07,188.42,191.07,188.42,190.57,3570.0,SXRV
2015-01-08,192.44,195.38,192.36,194.929,7276.0,SXRV
2015-01-09,196.13,196.13,192.32,193.059,7580.0,SXRV
2015-01-12,193.28,194.92,191.28,192.229,1479.0,SXRV
2015-01-13,191.42,196.19,191.42,195.5,3734.0,SXRV
2015-01-14,190.99,192.56,189.0,190.0,9247.0,SXRV
2015-01-15,193.11,194.12,192.0,193.029,457.0,SXRV
2015-01-16,190.4,193.83,190.18,193.44,2244.0,SXRV
2015-01-19,194.17,194.17,192.91,193.35,1322.0,SXRV
2015-01-20,194.85,194.98,193.79,194.08,1506.0,SXRV
2015-01-21,196.09,197.15,194.03,196.839,1672.0,SXRV
2015-01-22,197.06,201.49,195.93,201.49,9899.0,SXRV
2015-01-23,204.3,208.03,204.3,206.059,2645.0,SXRV
2015-01-26,206.55,206.6,205.179,205.179,967.0,SXRV
2015-01-27,206.36,206.36,197.72,199.559,2496.0,SXRV
2015-01-28,202.33,202.85,200.33,200.899,904.0,SXRV
2015-01-29,198.68,198.84,196.5,198.11,1740.0,SXRV
2015-01-30,200.47,202.06,199.94,200.99,14472.0,SXRV
2015-02-02,199.31,199.55,197.43,199.55,2766.0,SXRV
2015-02-03,201.24,201.4,197.929,197.929,2379.0,SXRV
2015-02-04,199.73,201.52,199.56,201.52,1756.0,SXRV
2015-02-05,201.07,202.03,200.49,202.029,7482.0,SXRV
2015-02-06,202.09,204.36,201.9,204.36,6109.0,SXRV
2015-02-09,202.09,202.76,201.6,202.759,335.0,SXRV
2015-02-10,202.51,204.34,202.51,204.339,750.0,SXRV
2015-02-11,205.31,206.62,205.31,206.6,375.0,SXRV
2015-02-12,206.68,207.24,206.36,206.419,1440.0,SXRV
2015-02-13,207.41,207.91,207.4,207.66,5500.0,SXRV
2015-02-16,208.38,209.41,208.31,209.41,323.0,SXRV
2015-02-17,209.43,209.43,208.45,209.05,639.0,SXRV
2015-02-18,209.25,209.86,209.25,209.86,181.0,SXRV
2015-02-19,208.63,210.67,208.26,210.669,315.0,SXRV
2015-02-20,211.44,212.65,211.44,211.449,5396.0,SXRV
2015-02-23,212.7,213.46,212.58,213.0,13508.0,SXRV
2015-02-24,213.69,213.83,213.37,213.66,93.0,SXRV
2015-02-25,212.69,213.17,212.51,213.169,917.0,SXRV
2015-02-26,212.87,216.11,212.71,216.11,7846.0,SXRV
2015-02-27,216.34,216.77,215.62,216.009,6425.0,SXRV
2015-03-02,216.55,217.63,215.32,217.63,3315.0,SXRV
2015-03-03,217.49,218.0,215.66,215.66,1178.0,SXRV
2015-03-04,217.33,218.32,216.59,218.32,3124.0,SXRV
2015-03-05,218.75,219.87,218.7,219.679,1620.0,SXRV
2015-03-06,219.69,222.79,219.69,221.059,2335.0,SXRV
2015-03-09,220.11,220.88,219.52,220.49,1059.0,SXRV
2015-03-10,221.72,222.36,220.1,220.289,6401.0,SXRV
2015-03-11,222.43,223.5,222.28,222.289,1180.0,SXRV
2015-03-12,220.92,221.88,220.34,221.88,1425.0,SXRV
2015-03-13,221.84,224.34,221.84,222.429,15002.0,SXRV
2015-03-16,222.85,224.15,222.52,223.479,15601.0,SXRV
2015-03-17,223.69,224.07,223.15,224.07,593.0,SXRV
2015-03-18,224.53,224.76,222.91,222.91,1779.0,SXRV
2015-03-19,225.74,226.73,225.74,226.33,1660.0,SXRV
2015-03-20,226.54,226.6,224.119,224.119,1153.0,SXRV
2015-03-23,224.74,224.74,221.69,221.77,5301.0,SXRV
2015-03-24,220.36,221.92,220.21,221.919,3075.0,SXRV
2015-03-25,220.64,220.64,216.13,216.13,962.0,SXRV
2015-03-26,212.02,215.19,210.89,215.1,9392.0,SXRV
2015-03-27,217.51,217.51,215.58,215.58,1408.0,SXRV
2015-03-30,219.56,219.77,219.16,219.729,3645.0,SXRV
2015-03-31,220.71,221.77,220.71,221.009,4095.0,SXRV
2015-04-01,219.85,219.85,217.1,217.2,5544.0,SXRV
2015-04-02,216.42,217.11,216.1,216.22,2226.0,SXRV
2015-04-07,216.96,219.19,216.96,219.19,768.0,SXRV
2015-04-08,217.19,220.07,217.18,220.07,2442.0,SXRV
2015-04-09,220.92,222.64,220.92,222.429,787.0,SXRV
2015-04-10,225.5,226.7,225.4,226.429,3027.0,SXRV
2015-04-13,226.82,228.16,226.82,228.16,492.0,SXRV
2015-04-14,226.82,226.82,223.34,223.729,13818.0,SXRV
2015-04-15,224.92,226.93,224.92,225.949,19166.0,SXRV
2015-04-16,225.87,225.87,223.3,224.119,17036.0,SXRV
2015-04-17,222.89,222.89,219.47,219.58,5639.0,SXRV
2015-04-20,220.48,223.26,220.48,223.259,361.0,SXRV
2015-04-21,226.19,226.19,224.47,224.47,839.0,SXRV
