Date,Open,High,Low,Close,Volume
2010-07-12,91.21,91.21,91.21,91.21,0
2010-07-16,91.3,91.3,91.3,91.3,0
2010-07-19,90.52,90.52,90.52,90.52,0
2010-07-20,90.71,90.71,90.71,90.71,0
2010-07-21,92.83,92.83,92.83,92.83,2
2010-07-22,93.03,93.03,93.03,93.03,0
2010-07-23,93.03,93.03,93.03,93.03,0
2010-07-29,93.29,93.29,93.29,93.29,0
2010-07-30,93.41,93.41,93.41,93.41,5000
2010-08-11,93.01,93.01,93.01,93.01,0
2010-08-12,92.33,92.33,92.33,92.33,0
2010-08-13,91.86,91.86,91.86,91.86,0
2010-08-16,91.87,91.87,91.87,91.87,0
2010-08-19,91.49,91.49,91.49,91.49,0
2010-08-20,91.59,91.59,90.7,90.7,398
2010-08-23,91.14,91.14,91.14,91.14,0
2010-08-27,89.48,90.14,89.48,90.14,300
2010-08-30,90.22,90.22,90.22,90.22,0
2010-08-31,89.75,89.75,89.75,89.75,0
2010-09-09,94.62,94.62,94.53,94.53,1
2010-09-10,94.48,94.48,94.48,94.48,0
2010-09-20,94.48,94.48,94.48,94.48,0
2010-09-29,97.83,97.83,97.37,97.66,2
2010-09-30,98.26,98.26,98.26,98.26,1000
2010-10-01,97.46,97.46,97.46,97.46,0
2010-10-04,96.95,96.95,96.95,96.95,0
2010-11-01,72.92,73.06,72.58,73.06,20
2010-11-02,72.54,72.54,72.54,72.54,0
2010-11-03,72.78,72.78,72.44,72.44,10
2010-11-04,72.99,72.99,72.99,72.99,0
2010-11-09,75.26,75.26,75.26,75.26,0
2010-11-10,75.36,75.36,75.36,75.36,0
2010-11-11,75.52,75.52,75.52,75.52,0
2010-11-12,74.9,74.9,74.9,74.9,0
2010-11-15,75.59,75.59,75.59,75.59,330
2010-11-17,74.52,74.61,74.52,74.61,25
2010-11-18,75.26,75.26,75.26,75.26,0
2010-11-19,74.89,74.89,74.89,74.89,0
2010-11-22,74.89,74.89,74.89,74.89,0
2010-11-23,75.18,75.18,75.18,75.18,0
2010-11-25,76.77,76.81,76.77,76.81,370
2010-11-26,76.9,76.9,76.9,76.9,0
2010-11-29,76.99,76.99,76.87,76.87,3000
2010-11-30,77.38,77.64,77.38,77.39,1070
2010-12-01,77.68,77.68,77.68,77.68,2000
2010-12-03,77.86,77.86,77.86,77.86,1000
2010-12-07,78.86,78.86,78.86,78.86,0
2010-12-08,79.09,79.09,79.09,79.09,0
2010-12-09,79.83,79.83,79.66,79.66,12
2010-12-10,79.88,79.88,79.88,79.88,0
2010-12-13,79.52,79.52,79.52,79.52,0
2010-12-14,78.9,79.58,78.9,79.58,1000
2010-12-15,79.74,79.74,79.74,79.74,0
2010-12-16,80.42,80.42,80.42,80.42,0
2010-12-17,79.68,79.68,79.68,79.68,370
2010-12-21,81.29,81.63,81.29,81.63,2009
2010-12-22,81.73,82.13,81.73,82.13,2129
2010-12-23,82.2,82.2,81.96,82.03,3000
2010-12-27,81.58,81.58,81.58,81.58,0
2010-12-28,81.43,82.04,81.43,82.04,2150
