Date,Open,High,Low,Close,Volume
2010-07-14,98.12,98.12,98.12,98.12,0
2010-07-15,97.05,97.05,97.05,97.05,0
2010-07-16,96.08,96.08,96.08,96.08,0
2010-07-19,95.33,95.33,95.33,95.33,0
2010-07-20,95.25,95.25,95.25,95.25,0
2010-07-21,96.61,96.61,96.61,96.61,0
2010-07-22,98.34,98.34,98.34,98.34,0
2010-07-23,97.99,97.99,97.99,97.99,0
2010-07-26,99.37,99.37,99.37,99.37,0
2010-07-27,99.39,99.39,99.39,99.39,0
2010-07-28,99.29,99.29,99.29,99.29,0
2010-07-29,97.61,97.61,97.61,97.61,0
2010-07-30,97.94,97.94,97.94,97.94,0
2010-08-02,100.18,100.18,100.18,100.18,0
2010-08-03,99.98,99.98,99.98,99.98,0
2010-08-04,100.38,100.38,100.38,100.38,0
2010-08-05,100.21,100.21,100.21,100.21,0
2010-08-06,99.24,99.24,99.24,99.24,0
2010-08-09,100.9,100.9,100.9,100.9,0
2010-08-10,99.93,99.93,99.93,99.93,0
2010-08-11,97.39,97.39,97.39,97.39,0
2010-08-12,96.87,96.87,96.87,96.87,0
2010-08-13,96.01,96.01,96.01,96.01,0
2010-08-16,96.42,96.42,96.42,96.42,0
2010-08-17,97.83,97.83,97.83,97.83,0
2010-08-18,97.44,97.44,97.44,97.44,0
2010-08-19,96.04,96.04,96.04,96.04,0
2010-08-20,95.64,95.64,95.64,95.64,0
2010-08-23,95.75,95.75,95.75,95.75,0
2010-08-24,94.53,94.53,94.53,94.53,0
2010-08-25,93.84,93.84,93.84,93.84,0
2010-08-26,94.38,94.38,94.38,94.38,0
2010-08-27,94.17,94.17,94.17,94.17,0
2010-08-30,94.44,94.44,94.44,94.44,0
2010-08-31,93.73,93.73,93.73,93.73,0
2010-09-01,96.27,96.27,96.27,96.27,0
2010-09-02,96.57,96.57,96.57,96.57,0
2010-09-03,97.37,97.99,97.37,97.99,550
2010-09-06,98.71,98.71,98.71,98.71,0
2010-09-07,98.03,98.03,98.03,98.03,550
2010-09-08,99.36,99.36,99.36,99.36,0
2010-09-09,99.67,100.22,99.67,100.22,550
2010-09-10,99.75,99.75,99.75,99.75,0
2010-09-13,101.29,101.29,101.29,101.29,0
2010-09-14,101.21,101.27,101.21,101.27,1650
2010-09-15,101.9,101.9,101.9,101.9,0
2010-09-16,102.19,102.19,102.19,102.19,0
2010-09-20,102.19,102.19,102.19,102.19,0
2010-09-30,105.67,105.67,104.89,104.89,2745
2010-10-01,105.33,105.33,105.33,105.33,0
2010-10-04,104.09,104.09,104.09,104.09,0
2010-10-08,105.57,107,105.15,107,12000
2010-10-11,107.27,107.27,107.27,107.27,0
2010-10-12,107.33,107.33,107.33,107.33,0
2010-10-13,108.84,108.84,108.84,108.84,0
2010-10-14,108.49,108.49,108.49,108.49,0
2010-10-15,110.06,110.06,110.06,110.06,0
2010-10-18,110.49,110.49,110.49,110.49,0
2010-10-19,109.7,109.7,109.7,109.7,0
2010-10-20,110.5,110.5,110.5,110.5,0
2010-10-21,110.74,110.74,110.74,110.74,0
2010-10-22,110.68,110.84,110.68,110.84,134
2010-10-25,111.86,111.86,111.86,111.86,0
2010-10-26,111.47,111.66,111.47,111.66,187
2010-10-27,111.29,111.29,111.29,111.29,0
2010-10-28,112.01,112.01,112.01,112.01,0
2010-10-29,112.19,112.19,112.19,112.19,0
2010-11-01,81.42,81.45,81.01,81.01,17500
2010-11-02,80.73,80.73,80.73,80.73,0
2010-11-03,80.58,80.58,80.58,80.58,0
2010-11-04,80.63,81.16,80.63,81.16,2000
2010-11-05,82.04,82.04,82.04,82.04,0
2010-11-08,82.99,82.99,82.99,82.99,0
2010-11-09,83.25,83.25,83.25,83.25,0
2010-11-10,83.67,83.67,83.67,83.67,0
2010-11-11,83.04,83.45,83.04,83.45,64
2010-11-12,82.71,82.71,82.71,82.71,0
2010-11-15,82.95,82.95,82.95,82.95,0
2010-11-16,82.05,82.14,81.85,81.85,4509
2010-11-17,82.23,82.23,82.23,82.23,0
2010-11-18,82.25,83.06,82.25,83.06,3509
2010-11-19,82.5,82.5,82.5,82.5,0
2010-11-22,83,83,83,83,0
2010-11-23,83.18,83.18,83.18,83.18,0
2010-11-25,85.62,85.62,85.44,85.44,340
2010-11-26,86.08,86.08,86.08,86.08,0
2010-11-29,85.93,85.93,85.63,85.63,3509
2010-11-30,85.81,85.83,85.81,85.83,1000
2010-12-01,86.12,86.12,86.12,86.12,1000
2010-12-02,86.99,86.99,86.99,86.99,0
2010-12-03,86.19,86.19,86.19,86.19,0
2010-12-06,86.98,86.98,86.98,86.98,0
2010-12-07,87.28,87.28,87.28,87.28,0
2010-12-08,87.53,87.53,87.53,87.53,0
2010-12-09,88.07,88.07,88.07,88.07,0
2010-12-10,88.13,88.13,88.13,88.13,0
2010-12-13,87.68,87.68,87.68,87.68,0
2010-12-14,87.54,87.54,87.54,87.54,0
2010-12-15,87.9,87.9,87.9,87.9,0
2010-12-16,88.05,88.83,88.02,88.83,1020
2010-12-17,87.87,87.87,87.87,87.87,340
2010-12-22,90.21,90.21,90.21,90.21,0
2010-12-23,89.86,89.86,89.84,89.84,3509
