feature,importance,rank
sentiment_negative_ratio_20d,0.026391797,1
news_count_log_20d,0.024063898,2
sentiment_negative_ratio_30d,0.023396127,3
sentiment_momentum_15_45,0.022460973,4
news_count_log_45d,0.02014388,5
close_vs_ma_200,0.019206986,6
sentiment_mean_60d,0.018232051,7
sentiment_positive_ratio_60d,0.018195257,8
news_count_20d,0.01763821,9
news_count_log_30d,0.017188666,10
news_count_30d,0.016719716,11
sentiment_negative_ratio_60d,0.015410185,12
news_count_45d,0.015374227,13
sentiment_negative_ratio_45d,0.015293499,14
sentiment_negative_ratio_15d,0.015206874,15
close_vs_ma_60,0.015205678,16
sentiment_momentum_10_30,0.0147648435,17
close_vs_ma_100,0.01476241,18
sentiment_momentum_5_20,0.014692371,19
ext_fedfunds_level,0.014270214,20
month,0.0142660355,21
sentiment_mean_45d,0.014067229,22
volatility_60d,0.014040226,23
news_count_60d,0.013823096,24
volatility_45d,0.013636555,25
ma_20_vs_50,0.013581483,26
macd_signal,0.013520619,27
sentiment_mean_10d,0.013491045,28
volatility_20d,0.0131913265,29
ma_50_vs_200,0.012863227,30
close_vs_ma_50,0.01256586,31
sentiment_positive_ratio_20d,0.01247674,32
volatility_30d,0.012358665,33
ext_yield_curve_10y2y,0.01231218,34
ext_us2y_level,0.011902723,35
macd,0.011788894,36
ext_us10y_level,0.010946944,37
sentiment_momentum_20_60,0.010934641,38
sentiment_negative_ratio_10d,0.010932826,39
macd_diff,0.010845877,40
sentiment_mean_30d,0.010625768,41
sentiment_positive_ratio_15d,0.010559018,42
return_10d,0.010260491,43
return_60d,0.009922431,44
rsi_14,0.0099056335,45
news_count_log_15d,0.009590283,46
return_30d,0.009583501,47
ext_vix_level,0.009366395,48
close_vs_ma_45,0.008804921,49
volatility_15d,0.00878693,50
sentiment_mean_20d,0.008713284,51
sentiment_mean_15d,0.008600753,52
sentiment_positive_ratio_30d,0.008324974,53
news_count_10d,0.008159283,54
close_vs_ma_30,0.008086971,55
return_45d,0.008080538,56
volatility_10d,0.0080619855,57
close_vs_ma_15,0.007990265,58
sentiment_positive_ratio_10d,0.007877462,59
rsi_28,0.007810118,60
ext_vix_change_1d,0.0073967194,61
return_15d,0.0073192907,62
news_count_log_60d,0.00701296,63
sentiment_mean_5d,0.006880522,64
ext_sp500_return_5d,0.006871058,65
close_vs_ma_10,0.0068045403,66
ext_fedfunds_change_5d,0.0066843056,67
bollinger_position,0.00658288,68
volatility_5d,0.0065821605,69
ext_us10y_change_1d,0.0064180633,70
sentiment_positive_ratio_5d,0.006396543,71
news_count_15d,0.0062950132,72
close_vs_ma_20,0.0062601687,73
return_5d,0.0061871074,74
ext_nasdaq100_return_1d,0.006123096,75
sentiment_positive_ratio_45d,0.0060855644,76
range_pct,0.006065775,77
return_1d,0.006051288,78
ext_sp500_return_1d,0.006037065,79
return_20d,0.0058930367,80
gap_return,0.005866398,81
ext_eurusd_return_1d,0.005860646,82
news_count_1d,0.00562387,83
return_2d,0.0056188684,84
ext_us2y_change_1d,0.00546408,85
ext_eurusd_return_5d,0.005388281,86
news_count_log_10d,0.0053042076,87
volume_change_1d,0.005098991,88
ext_vix_change_5d,0.0050364863,89
intraday_return,0.004990947,90
return_3d,0.0049711806,91
ext_nasdaq100_return_5d,0.004873149,92
sentiment_available_60d,0.004670126,93
close_vs_ma_5,0.004223493,94
volume_vs_ma20,0.0035763802,95
news_count_5d,0.0022106324,96
day_of_week,0.0,97
sentiment_available_10d,0.0,98
news_count_log_1d,0.0,99
sentiment_available_5d,0.0,100
sentiment_positive_ratio_1d,0.0,101
sentiment_negative_ratio_1d,0.0,102
sentiment_mean_1d,0.0,103
sentiment_negative_ratio_5d,0.0,104
news_count_log_5d,0.0,105
sentiment_available_1d,0.0,106
sentiment_available_30d,0.0,107
sentiment_available_20d,0.0,108
sentiment_available_15d,0.0,109
sentiment_available_45d,0.0,110
