feature,importance,rank
ext_eurusd_return_1d,0.02412906527030285,1
ext_eurusd_return_5d,0.022365069320816652,2
range_pct,0.0199343510669202,3
volume_change_1d,0.019578961443859084,4
gap_return,0.018557941742848225,5
sentiment_momentum_10_30,0.017458600786519233,6
ext_yield_curve_10y2y,0.017133365941586067,7
return_15d,0.016404083715609554,8
volume_vs_ma20,0.01565258600373515,9
volatility_5d,0.015471100560429952,10
return_45d,0.015149787810585626,11
intraday_return,0.015134457528937013,12
rsi_14,0.014816363680659828,13
return_60d,0.014768330006606326,14
volatility_60d,0.014763018236537515,15
close_vs_ma_50,0.014688143560223745,16
ext_us2y_change_1d,0.014466978698464932,17
close_vs_ma_200,0.014258904165634044,18
return_1d,0.013981990339724663,19
close_vs_ma_5,0.013979229512127682,20
ma_50_vs_200,0.013977190879512554,21
close_vs_ma_15,0.01396163466760961,22
ext_vix_change_1d,0.01395970974222328,23
ext_nasdaq100_return_5d,0.013771204987754011,24
return_5d,0.0136606288263072,25
volatility_45d,0.013607951761026369,26
ext_sp500_return_1d,0.013594195641962145,27
close_vs_ma_60,0.01355085555537315,28
sentiment_momentum_15_45,0.01353032248130265,29
return_3d,0.013454102610753065,30
close_vs_ma_45,0.013291627282538375,31
volatility_30d,0.013075492730300023,32
ext_nasdaq100_return_1d,0.013040909557279448,33
ext_us2y_level,0.012886692557566169,34
return_2d,0.01285910386849301,35
ext_sp500_return_5d,0.012824573436276144,36
macd_signal,0.012480856659755837,37
bollinger_position,0.01231987656748136,38
close_vs_ma_20,0.012243031648792172,39
volatility_20d,0.012111750058749295,40
close_vs_ma_10,0.012091695143663941,41
return_10d,0.01207680708309269,42
ma_20_vs_50,0.012066797800750387,43
ext_vix_change_5d,0.011798586070055135,44
close_vs_ma_30,0.011774813798780355,45
ext_us10y_level,0.01159021731296232,46
close_vs_ma_100,0.011584139608592189,47
return_30d,0.011481398885024485,48
rsi_28,0.011171911344828318,49
volatility_15d,0.011132803788512651,50
ext_vix_level,0.01107691567542603,51
macd,0.011004610230495067,52
volatility_10d,0.010827380682523688,53
return_20d,0.010659169660684241,54
macd_diff,0.010515616370954599,55
sentiment_mean_30d,0.010268332489928925,56
sentiment_positive_ratio_10d,0.00995052368990339,57
sentiment_momentum_20_60,0.0095645725217095,58
sentiment_mean_60d,0.008701763420633548,59
sentiment_mean_45d,0.008468744587461286,60
sentiment_momentum_5_20,0.008077656804390473,61
month,0.007725932119942508,62
ext_us10y_change_1d,0.00733266170047939,63
sentiment_mean_10d,0.0069795896732680295,64
day_of_week,0.00648177764341034,65
sentiment_negative_ratio_45d,0.006263631929581884,66
sentiment_positive_ratio_1d,0.006072956600223289,67
sentiment_positive_ratio_60d,0.005820492440345852,68
sentiment_negative_ratio_30d,0.00533732450899606,69
sentiment_positive_ratio_30d,0.005336853539804139,70
news_count_5d,0.005034692240373609,71
news_count_log_60d,0.004942553203134527,72
news_count_log_5d,0.00486774851351241,73
sentiment_mean_20d,0.00480811103128848,74
ext_fedfunds_level,0.004745543093263172,75
sentiment_negative_ratio_60d,0.004590449635762727,76
ext_fedfunds_change_5d,0.004528917191211351,77
sentiment_negative_ratio_5d,0.00448713217295002,78
news_count_log_20d,0.00424118925534753,79
sentiment_mean_5d,0.00416878626748175,80
sentiment_positive_ratio_20d,0.004117849790070782,81
news_count_20d,0.003923857956577536,82
news_count_10d,0.003894174912868063,83
sentiment_positive_ratio_15d,0.0038213882257437746,84
sentiment_mean_1d,0.0038004553530355876,85
sentiment_positive_ratio_45d,0.003702179952998756,86
news_count_log_30d,0.0036261538663042233,87
news_count_log_45d,0.003622318486538127,88
sentiment_negative_ratio_20d,0.003606071888809349,89
news_count_30d,0.0035737174164996183,90
sentiment_mean_15d,0.0033341100933392473,91
news_count_45d,0.0032022337628380792,92
news_count_log_15d,0.0031573467940267225,93
sentiment_positive_ratio_5d,0.0030513914708451928,94
news_count_15d,0.0030191487998326165,95
news_count_60d,0.0028956226401393747,96
sentiment_negative_ratio_15d,0.0028398105416533345,97
news_count_log_10d,0.0025742290068430074,98
sentiment_negative_ratio_10d,0.0025287932745695556,99
sentiment_negative_ratio_1d,0.002504652082585932,100
news_count_log_1d,0.001689227994222459,101
news_count_1d,0.0013112295706435894,102
sentiment_available_30d,0.001211175160622673,103
sentiment_available_20d,0.0005061151400444512,104
sentiment_available_45d,0.0004924016024991721,105
sentiment_available_10d,0.00038332400605743064,106
sentiment_available_60d,0.0003757042553642769,107
sentiment_available_15d,0.00029848638360741633,108
sentiment_available_1d,0.00027162075240754656,109
sentiment_available_5d,0.00012036817447760326,110
