feature,mean_abs_shap,importance_pct,rank
ext_us2y_level,0.8471694,14.520348,1
ma_50_vs_200,0.8436828,14.4605875,2
ext_fedfunds_level,0.72041744,12.347839,3
ext_vix_level,0.5243552,8.987364,4
close_vs_ma_200,0.31011912,5.3153915,5
volatility_45d,0.18479368,3.1673338,6
macd_signal,0.16626869,2.8498185,7
volatility_30d,0.15418364,2.6426828,8
close_vs_ma_100,0.15264721,2.6163487,9
ext_yield_curve_10y2y,0.14238107,2.4403887,10
volatility_60d,0.12605977,2.160644,11
ext_us10y_level,0.11013651,1.8877219,12
macd_diff,0.08339853,1.4294373,13
macd,0.079305165,1.3592777,14
volatility_20d,0.07870725,1.3490295,15
bollinger_position,0.06963551,1.1935414,16
news_count_60d,0.06822754,1.1694089,17
gap_return,0.06664471,1.1422796,18
sentiment_positive_ratio_60d,0.060716823,1.0406765,19
return_30d,0.05475428,0.9384795,20
sentiment_momentum_20_60,0.054504994,0.9342068,21
ext_sp500_return_5d,0.051478855,0.8823393,22
news_count_45d,0.048295457,0.8277764,23
sentiment_momentum_10_30,0.045872994,0.78625566,24
return_45d,0.04573303,0.78385675,25
sentiment_mean_45d,0.043799806,0.75072163,26
volatility_15d,0.038549177,0.6607267,27
sentiment_mean_20d,0.032386035,0.5550914,28
ma_20_vs_50,0.031203182,0.5348175,29
range_pct,0.030635409,0.5250859,30
volatility_10d,0.03051607,0.5230405,31
return_60d,0.028496837,0.4884312,32
volatility_5d,0.028233316,0.48391446,33
return_10d,0.027014248,0.46301988,34
ext_us10y_change_1d,0.026498882,0.45418656,35
ext_eurusd_return_5d,0.02528848,0.43344045,36
month,0.023954656,0.41057897,37
sentiment_mean_30d,0.020807734,0.3566412,38
sentiment_mean_60d,0.017037343,0.2920173,39
close_vs_ma_15,0.016571386,0.28403088,40
sentiment_momentum_15_45,0.016357105,0.28035817,41
close_vs_ma_30,0.016001176,0.27425757,42
return_2d,0.015638266,0.26803735,43
sentiment_negative_ratio_45d,0.014608638,0.2503897,44
ext_sp500_return_1d,0.013261776,0.22730471,45
news_count_15d,0.012904249,0.22117674,46
sentiment_positive_ratio_30d,0.012559125,0.21526138,47
sentiment_positive_ratio_45d,0.012213013,0.20932907,48
news_count_log_45d,0.012108737,0.2075418,49
close_vs_ma_45,0.011495619,0.19703305,50
news_count_20d,0.011174233,0.19152455,51
return_5d,0.0083939675,0.14387125,52
sentiment_negative_ratio_1d,0.008341061,0.14296444,53
sentiment_negative_ratio_60d,0.008129025,0.13933018,54
close_vs_ma_10,0.008056703,0.13809058,55
news_count_30d,0.007944766,0.13617201,56
intraday_return,0.007767934,0.13314113,57
sentiment_negative_ratio_20d,0.0077611557,0.13302496,58
sentiment_available_60d,0.007188784,0.123214595,59
ext_vix_change_1d,0.006909016,0.11841942,60
close_vs_ma_20,0.006660154,0.11415397,61
return_20d,0.006590184,0.11295469,62
sentiment_negative_ratio_30d,0.005880673,0.10079378,63
ext_nasdaq100_return_1d,0.0057028634,0.097746156,64
return_1d,0.0056735026,0.097242914,65
close_vs_ma_5,0.0056119733,0.096188314,66
news_count_log_15d,0.005378052,0.09217894,67
sentiment_positive_ratio_15d,0.005216831,0.08941564,68
news_count_log_30d,0.004837901,0.08292084,69
return_3d,0.004717933,0.08086461,70
ext_nasdaq100_return_5d,0.004709843,0.08072595,71
ext_us2y_change_1d,0.0045466474,0.077928804,72
volume_vs_ma20,0.0042037074,0.07205087,73
sentiment_mean_15d,0.004180036,0.07164514,74
rsi_28,0.0037936794,0.06502306,75
news_count_log_60d,0.0036883212,0.06321723,76
sentiment_available_45d,0.0035400263,0.06067548,77
sentiment_negative_ratio_15d,0.0020446419,0.035044834,78
news_count_5d,0.00202722,0.034746226,79
news_count_log_20d,0.0019898997,0.03410656,80
sentiment_negative_ratio_5d,0.0018580713,0.031847045,81
ext_vix_change_5d,0.0018375404,0.031495146,82
ext_eurusd_return_1d,0.0018314164,0.031390183,83
close_vs_ma_60,0.001742477,0.029865775,84
volume_change_1d,0.0015413737,0.026418898,85
news_count_10d,0.0013378952,0.022931308,86
sentiment_positive_ratio_20d,0.001320299,0.022629712,87
close_vs_ma_50,0.0013091011,0.022437781,88
sentiment_mean_1d,0.00052673614,0.009028173,89
return_15d,0.00045670746,0.007827892,90
rsi_14,0.00030876996,0.0052922675,91
day_of_week,0.0,0.0,92
sentiment_positive_ratio_1d,0.0,0.0,93
ext_fedfunds_change_5d,0.0,0.0,94
news_count_log_10d,0.0,0.0,95
sentiment_available_10d,0.0,0.0,96
sentiment_positive_ratio_10d,0.0,0.0,97
sentiment_negative_ratio_10d,0.0,0.0,98
sentiment_mean_10d,0.0,0.0,99
sentiment_mean_5d,0.0,0.0,100
news_count_log_5d,0.0,0.0,101
sentiment_available_5d,0.0,0.0,102
sentiment_available_1d,0.0,0.0,103
news_count_log_1d,0.0,0.0,104
sentiment_positive_ratio_5d,0.0,0.0,105
news_count_1d,0.0,0.0,106
sentiment_available_30d,0.0,0.0,107
sentiment_available_20d,0.0,0.0,108
sentiment_available_15d,0.0,0.0,109
sentiment_momentum_5_20,0.0,0.0,110
