feature,coefficient,abs_coefficient,direction,rank
ext_fedfunds_level,7.584405743025423,7.584405743025423,AUMENTA_P_SUBIDA,1
ext_yield_curve_10y2y,3.965157568065529,3.965157568065529,AUMENTA_P_SUBIDA,2
ext_us2y_level,-2.641526027389735,2.641526027389735,REDUCE_P_SUBIDA,3
volatility_60d,1.8445554060634315,1.8445554060634315,AUMENTA_P_SUBIDA,4
sentiment_negative_ratio_45d,1.736279340696771,1.736279340696771,AUMENTA_P_SUBIDA,5
sentiment_positive_ratio_60d,-1.536337540427713,1.536337540427713,REDUCE_P_SUBIDA,6
ext_us10y_level,-1.4995334392375927,1.4995334392375927,REDUCE_P_SUBIDA,7
news_count_log_45d,-1.4633023298216308,1.4633023298216308,REDUCE_P_SUBIDA,8
sentiment_mean_45d,1.285923646695752,1.285923646695752,AUMENTA_P_SUBIDA,9
sentiment_mean_60d,1.2704437914442845,1.2704437914442845,AUMENTA_P_SUBIDA,10
ma_50_vs_200,-1.2560459968873718,1.2560459968873718,REDUCE_P_SUBIDA,11
volatility_45d,1.1661295926420936,1.1661295926420936,AUMENTA_P_SUBIDA,12
sentiment_positive_ratio_45d,-1.164098404973483,1.164098404973483,REDUCE_P_SUBIDA,13
sentiment_negative_ratio_60d,1.1525205072840388,1.1525205072840388,AUMENTA_P_SUBIDA,14
sentiment_negative_ratio_30d,1.1144717276680811,1.1144717276680811,AUMENTA_P_SUBIDA,15
sentiment_momentum_20_60,-1.0395164575155684,1.0395164575155684,REDUCE_P_SUBIDA,16
news_count_log_5d,-0.9430592240991548,0.9430592240991548,REDUCE_P_SUBIDA,17
sentiment_positive_ratio_30d,-0.9306300638899504,0.9306300638899504,REDUCE_P_SUBIDA,18
news_count_30d,0.8980123828971497,0.8980123828971497,AUMENTA_P_SUBIDA,19
sentiment_momentum_15_45,-0.8505667226593567,0.8505667226593567,REDUCE_P_SUBIDA,20
sentiment_mean_30d,0.8492846092653604,0.8492846092653604,AUMENTA_P_SUBIDA,21
news_count_20d,0.8390545857581259,0.8390545857581259,AUMENTA_P_SUBIDA,22
macd_signal,-0.8357026604856126,0.8357026604856126,REDUCE_P_SUBIDA,23
sentiment_mean_10d,0.8318174445435589,0.8318174445435589,AUMENTA_P_SUBIDA,24
news_count_log_10d,-0.807032578944248,0.807032578944248,REDUCE_P_SUBIDA,25
sentiment_negative_ratio_20d,0.8020534335544048,0.8020534335544048,AUMENTA_P_SUBIDA,26
rsi_28,0.7952823468272239,0.7952823468272239,AUMENTA_P_SUBIDA,27
return_60d,0.7751030634396721,0.7751030634396721,AUMENTA_P_SUBIDA,28
sentiment_mean_15d,0.7582603710815716,0.7582603710815716,AUMENTA_P_SUBIDA,29
ext_vix_level,0.7327455818257268,0.7327455818257268,AUMENTA_P_SUBIDA,30
macd,-0.7176403386072137,0.7176403386072137,REDUCE_P_SUBIDA,31
close_vs_ma_60,0.6585102964466053,0.6585102964466053,AUMENTA_P_SUBIDA,32
bollinger_position,-0.6553256543863525,0.6553256543863525,REDUCE_P_SUBIDA,33
