feature,importance,rank
ma_50_vs_200,0.05523977026812351,1
volatility_60d,0.04579770896057056,2
close_vs_ma_200,0.040316555317883813,3
month,0.03325354374483363,4
volatility_45d,0.03164085883388251,5
close_vs_ma_100,0.025564922461448474,6
return_60d,0.024128356695045802,7
ext_us2y_level,0.023863710588753057,8
volatility_30d,0.022012957970423946,9
ext_us10y_level,0.02069677216170427,10
volatility_20d,0.020682341223841178,11
ext_vix_level,0.01815829151370732,12
ext_fedfunds_level,0.016968333057399497,13
macd_signal,0.01691059587085781,14
news_count_60d,0.016545897329157764,15
sentiment_positive_ratio_60d,0.01640967709252202,16
macd_diff,0.01585549593540075,17
close_vs_ma_60,0.01487036796523147,18
sentiment_positive_ratio_30d,0.014212320602248614,19
sentiment_mean_60d,0.014088827351810043,20
macd,0.013890557023166718,21
sentiment_positive_ratio_45d,0.013686587991618678,22
rsi_28,0.01356757355008975,23
volatility_15d,0.01356676090536699,24
sentiment_momentum_15_45,0.012617223422898963,25
news_count_log_60d,0.012582052110489097,26
sentiment_mean_15d,0.012547306452912554,27
sentiment_negative_ratio_45d,0.012398121795201191,28
return_45d,0.012136514076151737,29
sentiment_mean_30d,0.011805828411435614,30
sentiment_mean_20d,0.011764040357187084,31
sentiment_momentum_20_60,0.011758914435990562,32
sentiment_negative_ratio_30d,0.0112738600918924,33
ext_yield_curve_10y2y,0.011239684623005314,34
sentiment_negative_ratio_60d,0.010918527737981736,35
close_vs_ma_50,0.010473846706205372,36
sentiment_negative_ratio_20d,0.010415630224865515,37
close_vs_ma_45,0.009582099685296911,38
sentiment_positive_ratio_15d,0.009259006729576379,39
news_count_45d,0.009032539264872744,40
sentiment_mean_10d,0.008704057569966672,41
volatility_10d,0.008680056431425026,42
sentiment_mean_45d,0.008666567528351876,43
news_count_log_45d,0.008493147145767974,44
return_30d,0.008462473326646361,45
return_20d,0.00828640545009514,46
ma_20_vs_50,0.008206766526773967,47
rsi_14,0.008178445220893997,48
return_10d,0.007954581005382846,49
sentiment_negative_ratio_15d,0.00785686793900379,50
sentiment_momentum_10_30,0.00776619296350466,51
news_count_log_30d,0.007681236182103831,52
sentiment_positive_ratio_20d,0.007348789330395784,53
close_vs_ma_20,0.007320869630283796,54
return_15d,0.006697889703941244,55
news_count_log_20d,0.006534538680936336,56
close_vs_ma_30,0.006494309726849754,57
news_count_20d,0.006435289433943528,58
range_pct,0.006176347554876541,59
bollinger_position,0.006012433818141439,60
close_vs_ma_15,0.00599360756714732,61
volume_vs_ma20,0.005904141917201548,62
news_count_30d,0.005859345683396152,63
return_5d,0.00577489047578507,64
volatility_5d,0.005460050086017588,65
ext_eurusd_return_5d,0.00535524497416397,66
sentiment_negative_ratio_10d,0.0050694667019673045,67
sentiment_momentum_5_20,0.004899552265028719,68
return_3d,0.004443561302006945,69
close_vs_ma_5,0.004407781992191931,70
news_count_15d,0.004391025346822135,71
close_vs_ma_10,0.004062628304883255,72
ext_vix_change_5d,0.004024397210731123,73
news_count_log_15d,0.003766910672437774,74
sentiment_mean_5d,0.003711988362980746,75
ext_sp500_return_5d,0.003692719794207991,76
gap_return,0.003474479197158535,77
ext_nasdaq100_return_5d,0.0034052050320881543,78
intraday_return,0.003282798701064177,79
volume_change_1d,0.0032055372182061823,80
sentiment_negative_ratio_5d,0.0028623789541923736,81
ext_nasdaq100_return_1d,0.0028417433505796685,82
return_2d,0.002811047610184506,83
news_count_log_10d,0.0026686601893121543,84
ext_sp500_return_1d,0.002270883443160861,85
ext_eurusd_return_1d,0.002237649052246121,86
news_count_10d,0.002235280043770302,87
sentiment_positive_ratio_10d,0.0021515302921018167,88
return_1d,0.0020998822707450435,89
news_count_log_5d,0.0019507429823680765,90
news_count_5d,0.0017333213497375936,91
sentiment_positive_ratio_5d,0.0017045779840954805,92
ext_us10y_change_1d,0.001599009809022574,93
ext_fedfunds_change_5d,0.0014914696291294409,94
ext_vix_change_1d,0.0013447764756612836,95
ext_us2y_change_1d,0.001006011329015824,96
sentiment_mean_1d,0.0008025486086027992,97
day_of_week,0.0005852062650856656,98
news_count_1d,0.0004886669480047603,99
sentiment_negative_ratio_1d,0.0004295158742242701,100
sentiment_positive_ratio_1d,0.000364448930039152,101
news_count_log_1d,0.000289942155834565,102
sentiment_available_1d,0.00015412793706323896,103
sentiment_available_5d,0.0,104
sentiment_available_10d,0.0,105
sentiment_available_15d,0.0,106
sentiment_available_30d,0.0,107
sentiment_available_20d,0.0,108
sentiment_available_45d,0.0,109
sentiment_available_60d,0.0,110
