feature,importance,rank
news_count_log_45d,0.023231778,1
ext_us2y_level,0.021080846,2
volatility_30d,0.020179527,3
news_count_60d,0.019764962,4
ext_fedfunds_level,0.019693611,5
close_vs_ma_200,0.01966769,6
ext_us10y_level,0.019458298,7
volatility_60d,0.017970448,8
volatility_45d,0.017476188,9
ext_vix_level,0.016989054,10
month,0.015831707,11
ma_50_vs_200,0.015722223,12
sentiment_positive_ratio_60d,0.015600329,13
news_count_45d,0.015581338,14
news_count_log_60d,0.015485523,15
news_count_30d,0.015356298,16
sentiment_mean_60d,0.01520658,17
sentiment_negative_ratio_30d,0.015085458,18
macd,0.01453203,19
close_vs_ma_50,0.014286132,20
sentiment_negative_ratio_60d,0.013954808,21
return_15d,0.013599948,22
sentiment_positive_ratio_45d,0.013482081,23
macd_signal,0.013355253,24
volatility_20d,0.013274813,25
news_count_15d,0.013087247,26
sentiment_negative_ratio_45d,0.01298738,27
volatility_10d,0.0127748465,28
close_vs_ma_100,0.012326965,29
volatility_15d,0.012237992,30
close_vs_ma_30,0.01206067,31
rsi_28,0.012036376,32
news_count_log_30d,0.011845329,33
return_30d,0.011691508,34
ma_20_vs_50,0.0116579905,35
return_45d,0.011655713,36
sentiment_positive_ratio_20d,0.011525078,37
return_60d,0.011519961,38
ext_yield_curve_10y2y,0.011130358,39
gap_return,0.010935969,40
rsi_14,0.010844906,41
sentiment_positive_ratio_30d,0.010843456,42
sentiment_negative_ratio_20d,0.010398362,43
news_count_20d,0.01017977,44
sentiment_mean_20d,0.010177301,45
macd_diff,0.010157386,46
volume_vs_ma20,0.010083983,47
close_vs_ma_10,0.009990559,48
sentiment_positive_ratio_15d,0.009790964,49
return_10d,0.009765658,50
sentiment_positive_ratio_10d,0.00959419,51
close_vs_ma_15,0.009431838,52
sentiment_mean_45d,0.009288896,53
close_vs_ma_45,0.00917532,54
ext_nasdaq100_return_5d,0.0091255475,55
volatility_5d,0.008883702,56
sentiment_mean_30d,0.00859767,57
return_20d,0.008540181,58
return_3d,0.0084930975,59
bollinger_position,0.008345746,60
sentiment_mean_15d,0.008288767,61
news_count_10d,0.008279885,62
sentiment_momentum_15_45,0.008279786,63
news_count_5d,0.008038964,64
close_vs_ma_60,0.007765514,65
sentiment_negative_ratio_15d,0.007378654,66
sentiment_momentum_10_30,0.0073669343,67
ext_fedfunds_change_5d,0.0073565645,68
news_count_log_15d,0.0073426967,69
close_vs_ma_5,0.0073412466,70
sentiment_negative_ratio_10d,0.007279932,71
close_vs_ma_20,0.0072294236,72
sentiment_momentum_20_60,0.006653791,73
sentiment_negative_ratio_5d,0.006557578,74
volume_change_1d,0.006487764,75
sentiment_positive_ratio_5d,0.0064471513,76
ext_vix_change_5d,0.0062826746,77
sentiment_momentum_5_20,0.006245955,78
sentiment_mean_5d,0.0062229373,79
ext_nasdaq100_return_1d,0.0061465595,80
ext_eurusd_return_5d,0.005842886,81
return_5d,0.0058218236,82
range_pct,0.0058069094,83
intraday_return,0.0055528968,84
news_count_log_20d,0.0055318875,85
ext_us10y_change_1d,0.0053461553,86
sentiment_mean_10d,0.0052301628,87
ext_sp500_return_5d,0.0050211335,88
ext_vix_change_1d,0.0050030416,89
return_1d,0.004943781,90
ext_eurusd_return_1d,0.004711033,91
ext_us2y_change_1d,0.004515506,92
return_2d,0.003832122,93
ext_sp500_return_1d,0.0027991587,94
day_of_week,0.0,95
sentiment_available_10d,0.0,96
news_count_log_10d,0.0,97
sentiment_available_5d,0.0,98
news_count_log_1d,0.0,99
sentiment_available_1d,0.0,100
sentiment_negative_ratio_1d,0.0,101
news_count_1d,0.0,102
sentiment_mean_1d,0.0,103
sentiment_positive_ratio_1d,0.0,104
news_count_log_5d,0.0,105
sentiment_available_15d,0.0,106
sentiment_available_30d,0.0,107
sentiment_available_20d,0.0,108
sentiment_available_45d,0.0,109
sentiment_available_60d,0.0,110
