feature,mean_abs_shap,importance_pct,rank
ext_fedfunds_level,1.8110642,29.700146,1
ext_us2y_level,0.91157395,14.949155,2
ma_50_vs_200,0.3836109,6.2909417,3
volatility_30d,0.22657079,3.7155974,4
ext_vix_level,0.15657,2.567635,5
sentiment_positive_ratio_60d,0.13239309,2.1711512,6
close_vs_ma_200,0.12467926,2.0446498,7
sentiment_mean_60d,0.12228928,2.0054557,8
volatility_15d,0.10579023,1.7348833,9
ext_us10y_level,0.10134514,1.6619871,10
volatility_60d,0.09877738,1.6198778,11
sentiment_positive_ratio_30d,0.09615635,1.5768948,12
sentiment_negative_ratio_45d,0.08876338,1.4556553,13
gap_return,0.088422276,1.4500616,14
macd_signal,0.085675955,1.4050238,15
volatility_20d,0.08502556,1.3943577,16
news_count_60d,0.08251939,1.3532585,17
return_60d,0.07714745,1.2651625,18
volatility_45d,0.06986593,1.1457508,19
sentiment_negative_ratio_60d,0.06683084,1.0959777,20
ext_sp500_return_5d,0.057812236,0.94807893,21
volume_vs_ma20,0.0568595,0.93245476,22
range_pct,0.05456102,0.8947614,23
month,0.049396165,0.8100615,24
sentiment_negative_ratio_10d,0.045908663,0.75286895,25
sentiment_mean_30d,0.042998333,0.7051416,26
ext_nasdaq100_return_5d,0.042976197,0.7047786,27
bollinger_position,0.0411979,0.6756158,28
macd,0.039700687,0.6510626,29
close_vs_ma_30,0.03772952,0.6187369,30
ext_yield_curve_10y2y,0.03711998,0.60874087,31
sentiment_mean_45d,0.036557924,0.5995236,32
news_count_45d,0.035345793,0.5796455,33
ext_vix_change_5d,0.035085317,0.5753739,34
news_count_20d,0.03311897,0.5431272,35
macd_diff,0.031192021,0.51152664,36
sentiment_positive_ratio_10d,0.03090778,0.50686526,37
sentiment_positive_ratio_45d,0.026307855,0.43142983,38
ext_eurusd_return_5d,0.024615683,0.40367943,39
news_count_30d,0.021670643,0.35538292,40
ma_20_vs_50,0.02114646,0.34678668,41
news_count_log_20d,0.019830458,0.3252052,42
ext_eurusd_return_1d,0.018777339,0.3079348,43
volume_change_1d,0.01856912,0.30452016,44
close_vs_ma_100,0.016880149,0.27682227,45
news_count_log_30d,0.016664509,0.27328593,46
return_20d,0.014741668,0.24175271,47
close_vs_ma_50,0.014527278,0.23823687,48
close_vs_ma_10,0.013993913,0.22949009,49
return_45d,0.013741801,0.22535561,50
close_vs_ma_20,0.013593953,0.22293101,51
sentiment_momentum_20_60,0.012688573,0.20808345,52
volatility_10d,0.012668989,0.20776229,53
return_5d,0.01221813,0.20036851,54
return_15d,0.012124767,0.19883741,55
rsi_28,0.011902631,0.19519456,56
news_count_log_60d,0.011676166,0.1914807,57
intraday_return,0.011099022,0.18201596,58
sentiment_positive_ratio_20d,0.008709577,0.14283077,59
close_vs_ma_15,0.008528156,0.13985561,60
close_vs_ma_45,0.0075371447,0.12360373,61
return_10d,0.007522511,0.12336375,62
sentiment_momentum_10_30,0.007245263,0.11881708,63
sentiment_mean_20d,0.0071888873,0.11789256,64
volatility_5d,0.006537919,0.10721715,65
sentiment_negative_ratio_30d,0.0064030495,0.10500538,66
sentiment_momentum_15_45,0.0061762976,0.10128683,67
sentiment_negative_ratio_20d,0.0061312634,0.1005483,68
close_vs_ma_60,0.0058949855,0.0966735,69
news_count_log_45d,0.005369789,0.08806066,70
news_count_5d,0.005338614,0.08754942,71
rsi_14,0.0050379722,0.08261911,72
news_count_10d,0.004618258,0.0757361,73
sentiment_mean_15d,0.0044643003,0.073211305,74
sentiment_momentum_5_20,0.003969679,0.06509987,75
news_count_log_15d,0.0033523028,0.05497535,76
news_count_15d,0.0030037463,0.049259268,77
sentiment_positive_ratio_5d,0.0027630755,0.045312442,78
news_count_log_5d,0.0027432272,0.044986945,79
return_1d,0.0022973912,0.037675556,80
ext_vix_change_1d,0.0020771788,0.034064233,81
return_2d,0.0020536927,0.03367908,82
close_vs_ma_5,0.0020269887,0.033241153,83
sentiment_mean_5d,0.0018093593,0.029672187,84
sentiment_mean_1d,0.0017063505,0.027982917,85
return_30d,0.0016854544,0.027640237,86
sentiment_mean_10d,0.0014741436,0.02417489,87
sentiment_positive_ratio_15d,0.00085945096,0.014094375,88
ext_sp500_return_1d,0.00032485352,0.0053273635,89
return_3d,0.0,0.0,90
ext_nasdaq100_return_1d,0.0,0.0,91
day_of_week,0.0,0.0,92
ext_us10y_change_1d,0.0,0.0,93
ext_us2y_change_1d,0.0,0.0,94
news_count_log_10d,0.0,0.0,95
sentiment_available_10d,0.0,0.0,96
sentiment_negative_ratio_5d,0.0,0.0,97
sentiment_available_5d,0.0,0.0,98
news_count_log_1d,0.0,0.0,99
sentiment_available_1d,0.0,0.0,100
sentiment_negative_ratio_1d,0.0,0.0,101
news_count_1d,0.0,0.0,102
ext_fedfunds_change_5d,0.0,0.0,103
sentiment_positive_ratio_1d,0.0,0.0,104
sentiment_available_15d,0.0,0.0,105
sentiment_negative_ratio_15d,0.0,0.0,106
sentiment_available_30d,0.0,0.0,107
sentiment_available_20d,0.0,0.0,108
sentiment_available_45d,0.0,0.0,109
sentiment_available_60d,0.0,0.0,110
