feature,coefficient,abs_coefficient,direction,rank
close_vs_ma_60,1.7594777237835444,1.7594777237835444,AUMENTA_P_SUBIDA,1
ext_fedfunds_level,1.3956940101746638,1.3956940101746638,AUMENTA_P_SUBIDA,2
sentiment_mean_45d,1.1678754728611447,1.1678754728611447,AUMENTA_P_SUBIDA,3
sentiment_positive_ratio_45d,-1.0191619963642686,1.0191619963642686,REDUCE_P_SUBIDA,4
news_count_30d,0.998903749854126,0.998903749854126,AUMENTA_P_SUBIDA,5
sentiment_negative_ratio_60d,0.9953392844084772,0.9953392844084772,AUMENTA_P_SUBIDA,6
ma_20_vs_50,-0.7373888103584476,0.7373888103584476,REDUCE_P_SUBIDA,7
sentiment_negative_ratio_5d,-0.6673388035909292,0.6673388035909292,REDUCE_P_SUBIDA,8
ext_us10y_level,-0.6422011606997658,0.6422011606997658,REDUCE_P_SUBIDA,9
ext_us2y_level,-0.6154345522285789,0.6154345522285789,REDUCE_P_SUBIDA,10
sentiment_negative_ratio_45d,0.5295370567776597,0.5295370567776597,AUMENTA_P_SUBIDA,11
news_count_45d,0.5045475770845456,0.5045475770845456,AUMENTA_P_SUBIDA,12
close_vs_ma_200,-0.4585610952775709,0.4585610952775709,REDUCE_P_SUBIDA,13
sentiment_mean_60d,0.45392440847926047,0.45392440847926047,AUMENTA_P_SUBIDA,14
ext_yield_curve_10y2y,0.44799956981020866,0.44799956981020866,AUMENTA_P_SUBIDA,15
news_count_20d,-0.4423636457894801,0.4423636457894801,REDUCE_P_SUBIDA,16
sentiment_momentum_5_20,-0.4108716080866184,0.4108716080866184,REDUCE_P_SUBIDA,17
close_vs_ma_100,-0.39194083887161624,0.39194083887161624,REDUCE_P_SUBIDA,18
sentiment_mean_15d,0.3881964805175412,0.3881964805175412,AUMENTA_P_SUBIDA,19
sentiment_positive_ratio_5d,0.3604975130308354,0.3604975130308354,AUMENTA_P_SUBIDA,20
news_count_log_45d,-0.35275667972373814,0.35275667972373814,REDUCE_P_SUBIDA,21
sentiment_momentum_15_45,-0.3428627624575105,0.3428627624575105,REDUCE_P_SUBIDA,22
macd_diff,0.3291805491483549,0.3291805491483549,AUMENTA_P_SUBIDA,23
sentiment_negative_ratio_30d,0.32908347198140475,0.32908347198140475,AUMENTA_P_SUBIDA,24
rsi_14,-0.32644965306698454,0.32644965306698454,REDUCE_P_SUBIDA,25
return_20d,0.3087088382772534,0.3087088382772534,AUMENTA_P_SUBIDA,26
sentiment_mean_5d,-0.2929193593383747,0.2929193593383747,REDUCE_P_SUBIDA,27
