ETF,Horizonte,P_Subida,P_Bajada,Señal,Confianza,AUC_ensemble,BalAcc_ensemble,F1_ensemble,AUC_baseline,Sharpe,Return_strategy,Return_BH,Exposure,NLP_model,AUC_nonoverlap_mean,AUC_nonoverlap_std,AUC_bootstrap_low,AUC_bootstrap_high,Effective_N,Predicted_future_price,Regression_model_selected,Regression_RMSE,Regression_persistence_RMSE,Regression_RMSE_skill,Regression_MAE,Regression_MAPE_pct,Regression_R2,Regression_expected_return,regression_skill_component,final_score
SXRV,30,0.5912826268222204,0.40871737317777956,NEUTRAL / BAJA CONFIANZA,BAJA,0.7951467921762279,0.6381987577639752,0.8236914600550964,0.5,1.039094408520128,0.3674028985308644,0.24309680108367138,0.7246376811594203,True,0.7862064324564325,0.08370092376739317,0.6542920864364639,0.9273572145861508,17,1408.4206989237816,RandomForestRegressor,74.84015544326405,83.25991555794634,0.1011262149169776,52.789749837867646,4.77824790596537,0.478236640387218,-0.008712908978194212,0.1011262149169776,0.5619857505380819
SXR8,45,0.3230720350837137,0.6769279649162863,BAJADA / BAJISTA,MODERADA,0.8276955602536998,0.6274004580690627,0.8655569782330346,0.5,0.8390758080279144,0.22004648048753506,0.2563349690290415,0.5987525987525988,True,0.8638624338624341,0.10239771269508781,0.7289821150447894,0.9334605656847406,11,662.4977082151236,RandomForestRegressor,35.22239715396062,39.893609648904004,0.1170917481785636,25.95177007302975,4.554290903421306,0.2721037190866654,-0.027083578266626218,0.1170917481785636,0.5538694910445648
SXRV,45,0.5340458376491922,0.4659541623508078,NEUTRAL / BAJA CONFIANZA,BAJA,0.8346426245522632,0.5255210029306414,0.8244084682440846,0.5,1.064919356586524,0.41126069598652015,0.30819218067540444,0.81875,True,0.8585626102292768,0.07685776502348915,0.7874512239062544,0.9401444117351047,11,1396.3181000031689,RandomForestRegressor,88.25180982736472,99.04096428582804,0.10893628243891362,61.67558234819642,5.660666166552469,0.2761182643340474,-0.01723106700227417,0.10893628243891362,0.5517843614723875
SXRV,20,0.3822654364155756,0.6177345635844245,BAJADA / BAJISTA,BAJA,0.72249839942756,0.6157778782058525,0.7983193277310925,0.5,1.244742378169485,0.4059119922283807,0.3254620123203267,0.5628865979381443,True,0.7212516728913787,0.053047016853942704,0.5595750190184122,0.8390787109056492,25,1421.1710953106215,RandomForestRegressor,60.844014962936235,67.63961141804042,0.10046770394798132,43.30771541207181,3.8809996139055745,0.6548685975288171,0.0002611875778586459,0.10046770394798132,0.5513866879576539
SXR8,60,0.40203944958569454,0.5979605504143055,NEUTRAL / BAJA CONFIANZA,BAJA,0.7958128303262256,0.5191361399671952,0.8401486988847584,0.5,1.0781289971217844,0.3230915642294714,0.22338220918866347,0.7071129707112971,True,0.8027504105090312,0.16418479725947038,0.6847049910873441,0.901996326939316,8,670.5493369995311,RandomForestRegressor,39.01352975796819,45.558743828927874,0.1436653761907225,30.06390467432303,5.248778783207171,0.10494125547702315,-0.01525929303678586,0.1436653761907225,0.5448645005563006
SXRV,60,0.6858608444643088,0.31413915553569116,SUBIDA / ALCISTA,MODERADA,0.8256854256854257,0.5,0.8178438661710037,0.5,0.7578279444102984,0.27982366851992535,0.2640380196365195,0.9916142557651991,True,0.8114139515455304,0.16778977429298178,0.7561194738265281,0.9683364116020374,8,1391.8236218745226,RandomForestRegressor,92.75953218597778,109.32729673951044,0.15154279898649636,67.53183080306415,6.15704505318113,0.20123405790807203,-0.02039441027975608,0.15154279898649636,0.5200812532282281
SXR8,30,0.3163291845127031,0.6836708154872969,BAJADA / BAJISTA,MODERADA,0.7050373868555686,0.6114718614718615,0.7680945347119645,0.5,0.5424446012925128,0.13029791536554747,0.21388591163510884,0.5103305785123967,True,0.7057070707070707,0.07371699540927863,0.576514364585903,0.8686304680784085,17,668.7586395197999,RandomForestRegressor,30.343303214097713,32.701160580947416,0.07210317080377437,22.076476971295687,3.86398128266724,0.46141730217663013,-0.01788903644990769,0.07210317080377437,0.4682961450574205
SXR8,20,0.30018420998299766,0.6998157900170023,BAJADA / BAJISTA,MODERADA,0.6936140209508461,0.6470789685737308,0.7994227994227994,0.5,0.3217664833784318,0.06940091477362387,0.2558680892337517,0.5349794238683128,True,0.6956973929922846,0.06614300201957901,0.5575082275039336,0.8403781905343625,25,673.9731061125468,RandomForestRegressor,24.580140684500677,26.116373852148485,0.05882260593851274,17.542157788572563,3.0628960524073254,0.647664659385746,-0.010231288935079852,0.05882260593851274,0.4484758190017746
SXR8,15,0.3286501075269734,0.6713498924730266,BAJADA / BAJISTA,MODERADA,0.634690366972477,0.5660359327217126,0.7602836879432624,0.5,0.7921477027998802,0.2193751868064453,0.2670483116079352,0.6632443531827515,True,0.6397742365232484,0.10103293540988387,0.5094694779924303,0.787585116819883,33,678.9970607745247,RandomForestRegressor,22.730952284480914,22.937428859481575,0.009001731461079188,16.206816045402626,2.837213292593775,0.6993055445690501,-0.0028533192725869183,0.009001731461079188,0.44466572819299893
SXRV,15,0.32427352356933575,0.6757264764306643,BAJADA / BAJISTA,MODERADA,0.6029010755946069,0.49242539009241026,0.7377049180327869,0.5,0.6368516107553288,0.18841229075248034,0.34111424541608115,0.5699588477366255,True,0.5990315921445871,0.08513252873608158,0.5101220783386934,0.7035473500428494,33,1419.1798526246414,RandomForestRegressor,55.28877945934559,58.90297883675851,0.06135851613598642,40.30392850423802,3.603979791790012,0.7150102473713127,-0.0011403064297287324,0.06135851613598642,0.41007858828394517
